created_at,arm,model,question_id,run_index,attempt_index,status_code,error_type,latency_ms,upstream,scored
2026-08-05T16:17:38+00:00,openrouter_A,google/gemini-3.6-flash,b470,2,1,200,"",3431,google-ai-studio,TRUE
2026-08-05T16:17:38+00:00,openrouter_A,google/gemini-3.6-flash,b470,3,1,200,"",3910,google-ai-studio,TRUE
2026-08-05T16:17:39+00:00,openrouter_A,google/gemini-3.6-flash,b326,3,1,200,"",4888,google-ai-studio,TRUE
2026-08-05T16:17:40+00:00,openrouter_A,google/gemini-3.6-flash,b326,2,1,200,"",5108,google-ai-studio,TRUE
2026-08-05T16:17:40+00:00,openrouter_A,google/gemini-3.6-flash,n012,2,1,200,"",5349,google-ai-studio,TRUE
2026-08-05T16:17:41+00:00,openrouter_A,google/gemini-3.6-flash,b413,3,1,200,"",6399,google-ai-studio,TRUE
2026-08-05T16:17:42+00:00,openrouter_A,google/gemini-3.6-flash,n012,3,1,200,"",7848,google-ai-studio,TRUE
2026-08-05T16:17:44+00:00,openrouter_A,google/gemini-3.6-flash,n141,3,1,200,"",4578,google-ai-studio,TRUE
2026-08-05T16:17:45+00:00,openrouter_A,google/gemini-3.6-flash,n130,3,1,200,"",10883,google-ai-studio,TRUE
2026-08-05T16:17:46+00:00,openrouter_A,google/gemini-3.6-flash,n141,2,1,200,"",6144,google-ai-studio,TRUE
2026-08-05T16:17:48+00:00,openrouter_A,google/gemini-3.6-flash,b22,3,1,200,"",7573,google-ai-studio,TRUE
2026-08-05T16:17:50+00:00,openrouter_A,google/gemini-3.6-flash,b170,3,1,200,"",6067,google-ai-studio,TRUE
2026-08-05T16:17:51+00:00,openrouter_A,google/gemini-3.6-flash,b22,2,1,200,"",11058,google-ai-studio,TRUE
2026-08-05T16:17:52+00:00,openrouter_A,google/gemini-3.6-flash,n130,2,1,200,"",17291,google-ai-studio,TRUE
2026-08-05T16:17:52+00:00,openrouter_A,google/gemini-3.6-flash,b170,2,1,200,"",9705,google-ai-studio,TRUE
2026-08-05T16:17:58+00:00,openrouter_A,google/gemini-3.6-flash,b224,2,1,200,"",20138,google-ai-studio,TRUE
2026-08-05T16:18:02+00:00,openrouter_A,google/gemini-3.6-flash,b413,2,1,200,"",27928,google-ai-studio,TRUE
2026-08-05T16:18:06+00:00,openrouter_A,google/gemini-3.6-flash,b224,3,1,200,"",27215,google-ai-studio,TRUE
2026-08-05T16:18:17+00:00,openrouter_A,google/gemma-4-26b-a4b-it,n012,2,1,200,"",1322,google-ai-studio,TRUE
2026-08-05T16:18:17+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b335,2,1,200,"",1696,google-ai-studio,TRUE
2026-08-05T16:18:18+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b326,2,1,200,"",2449,google-ai-studio,TRUE
2026-08-05T16:18:19+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b379,2,1,200,"",3496,google-ai-studio,TRUE
2026-08-05T16:18:20+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b335,3,1,200,"",3941,google-ai-studio,TRUE
2026-08-05T16:18:20+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b373,3,1,200,"",2238,google-ai-studio,TRUE
2026-08-05T16:18:20+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b326,3,1,200,"",4120,google-ai-studio,TRUE
2026-08-05T16:18:20+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b379,3,1,200,"",4779,google-ai-studio,TRUE
2026-08-05T16:18:20+00:00,openrouter_A,google/gemma-4-26b-a4b-it,n012,3,1,200,"",4857,google-ai-studio,TRUE
2026-08-05T16:18:20+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b494,3,1,200,"",4869,google-ai-studio,TRUE
2026-08-05T16:18:21+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b323,2,1,200,"",2637,google-ai-studio,TRUE
2026-08-05T16:18:22+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b373,2,1,200,"",4963,google-ai-studio,TRUE
2026-08-05T16:18:23+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b323,3,1,200,"",3666,google-ai-studio,TRUE
2026-08-05T16:18:23+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b494,2,1,200,"",7804,google-ai-studio,TRUE
2026-08-05T16:18:24+00:00,openrouter_A,google/gemma-4-26b-a4b-it,n168,3,1,200,"",4361,google-ai-studio,TRUE
2026-08-05T16:18:24+00:00,openrouter_A,google/gemma-4-26b-a4b-it,n019,2,1,200,"",4195,google-ai-studio,TRUE
2026-08-05T16:18:24+00:00,openrouter_A,google/gemma-4-26b-a4b-it,r012,2,1,200,"",3886,google-ai-studio,TRUE
2026-08-05T16:18:25+00:00,openrouter_A,google/gemma-4-26b-a4b-it,r012,3,1,200,"",4121,google-ai-studio,TRUE
2026-08-05T16:18:25+00:00,openrouter_A,google/gemma-4-26b-a4b-it,n007,2,1,200,"",3963,google-ai-studio,TRUE
2026-08-05T16:18:25+00:00,openrouter_A,google/gemma-4-26b-a4b-it,n094,2,1,200,"",2086,google-ai-studio,TRUE
2026-08-05T16:18:26+00:00,openrouter_A,google/gemma-4-26b-a4b-it,n118,2,1,200,"",1703,google-ai-studio,TRUE
2026-08-05T16:18:26+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b387,2,1,200,"",1592,google-ai-studio,TRUE
2026-08-05T16:18:26+00:00,openrouter_A,google/gemma-4-26b-a4b-it,n118,3,1,200,"",1792,google-ai-studio,TRUE
2026-08-05T16:18:27+00:00,openrouter_A,google/gemma-4-26b-a4b-it,n168,2,1,200,"",7352,google-ai-studio,TRUE
2026-08-05T16:18:27+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b484,3,1,200,"",3223,google-ai-studio,TRUE
2026-08-05T16:18:28+00:00,openrouter_A,google/gemma-4-26b-a4b-it,n177,2,1,200,"",2045,google-ai-studio,TRUE
2026-08-05T16:18:29+00:00,openrouter_A,google/gemma-4-26b-a4b-it,n113,3,1,200,"",2497,google-ai-studio,TRUE
2026-08-05T16:18:29+00:00,openrouter_A,google/gemma-4-26b-a4b-it,n113,2,1,200,"",2694,google-ai-studio,TRUE
2026-08-05T16:18:29+00:00,openrouter_A,google/gemma-4-26b-a4b-it,n007,3,1,200,"",7105,google-ai-studio,TRUE
2026-08-05T16:18:29+00:00,openrouter_A,google/gemma-4-26b-a4b-it,b484,2,1,200,"",5136,google-ai-studio,TRUE
